File	Lemma	Sense_Id	ExampLineNo	Annotator1	WNOffset1	POS1	Annotator2	WNOffset2	POS2	FinalWNOffset
0128-bei.xml	背	7	88	9	00223465	adv	8	04066813	n	00223465
0136-ben.xml	本	1	8	5	00897613	v	10	00638550	v	00897613
0136-ben.xml	本	1	9	11	02351891	v	4	00555360	adj	02351891
0136-ben.xml	本	5	63	8	13376883	n	10	13350663	n	13376883
0136-ben.xml	本	5	64	5	13375435	n	11	13374622	n	13375435
0136-ben.xml	本	6	77	8	13813124	n	10	08524579	n	08524579
0136-ben.xml	本	8	103	10	06422547	n	5	06422547	n	06422547
0140-bi.xml	逼	1	8	10	02057865	v	8	02057865	v	02057865
0140-bi.xml	逼	2	21	5	01653967	v	13	01653967	v	01653967
0140-bi.xml	逼	2	22	8	02511007	v	10	02510211	v	02510211
0153-bi.xml	必	1	9	5	00113314	adv	10	00145758	adv	00145758
0153-bi.xml	必	1	11	5	00113314	adv	13	01584458	adj	00113314
0153-bi.xml	必	2	25	8	00037329	adv	13	00904721	adj	00904721
0153-bi.xml	必	2	27	4	02634015	v	13	02634015	v	02634015
0176-bian.xml	变	1	8	5	00126072	v	9	00149403	v	00126072
0176-bian.xml	变	1	9	9	00149403	v	5	00149403	v	00149403
0176-bian.xml	变	2	23	8	00191991	n	11	00191991	n	00191991
0176-bian.xml	变	2	22	10	07311046	n	8	13881240	n	07311046
0176-bian.xml	变	3	36	8	14001480	n	10	14002658	n	14002658
0197-biao.xml	标	1	8	11	01591414	v	8	01591414	v	01591414
0197-biao.xml	标	3	34	11	07275291	n	4	07275291	n	07275291
0206-biao.xml	表	1	8	4	00945869	v	10	00945869	v	00945869
0212-biao-shi.xml	表示	1	7	10	00945869	v	4	00945869	v	00945869
0212-biao-shi.xml	表示	2	19	8	00929986	v	13	01011267	v	01011267
0212-biao-shi.xml	表示	3	31	11	06893299	n	4	07154581	n	06893299
0214-biao-xian.xml	表现	2	19	10	14031827	n	8	13499408	n	14031827
0214-biao-xian.xml	表现	3	32	7	00945869	v	11	00945869	v	00945869
0214-biao-xian.xml	表现	3	33	8	02153218	v	10	02153218	v	02153218
0214-biao-xian.xml	表现	4	46	13	13546752	n	7	00098324	n	13546752
0214-biao-xian.xml	表现	4	47	4	13546752	n	11	13546752	n	13546752
0217-bie.xml	别	1	8	10	06642117	n	7	06642117	n	06642117
0217-bie.xml	别	2	21	4	00021214	adv	9	00024432	adv	00021214
0217-bie.xml	别	3	35	10	04756076	n	8	05756230	n	05756230
0217-bie.xml	别	4	48	8	02076759	adj	10	02076759	adj	02076759
0217-bie.xml	别	4	49	4	01038139	adj	9	02076759	adj	01038139
0230-bing-lie.xml	并列	1	9	11	01504599	v	7	02665300	v	02665300
0230-bing-lie.xml	并列	1	10	8	01117608	v	11	00333793	adv	01117608
0230-bing-lie.xml	并列	1	11	11	01504599	v	4	00022585	adv	01504599
0251-bu.xml	补	1	9	8	02723706	v	13	02258264	v	02723706
0251-bu.xml	补	1	10	10	02678648	v	5	00456874	v	02678648
0251-bu.xml	补	2	23	13	00261534	v	4	00261534	v	00261534
0251-bu.xml	补	3	37	4	01205348	v	11	01206811	v	01206811
0251-bu.xml	补	4	50	9	00831849	v	5	00599310	v	00599310
0251-bu.xml	补	5	63	10	00453467	v	5	00453467	v	00453467
0252-bu-chong.xml	补充	1	8	13	00182551	v	5	00182551	v	00182551
0252-bu-chong.xml	补充	2	21	7	00456705	v	9	01584458	adj	00456705
0252-bu-chong.xml	补充	3	34	8	01029183	v	9	00182551	v	01029183
0322-can.xml	惨	1	8	9	01054589	adj	5	01132864	adj	01054589
0322-can.xml	惨	1	9	11	00314485	adv	8	00314485	adv	00314485
0322-can.xml	惨	1	10	9	01054589	adj	4	01054589	adj	01054589
0345-cha.xml	差	1	8	9	01559809	adj	5	00454943	adv	00454943
0345-cha.xml	差	1	9	10	02638434	v	4	02638434	v	02638434
0345-cha.xml	差	2	22	8	02354208	adj	11	02031662	adj	02031662
0345-cha.xml	差	2	23	5	02031662	adj	11	01129296	adj	01129296
0345-cha.xml	差	2	24	13	01129296	adj	7	01129296	adj	01129296
0345-cha.xml	差	2	25	4	01129296	adj	9	01129296	adj	01129296
0345-cha.xml	差	2	26	10	01129296	adj	8	02354208	adj	02354208
0345-cha.xml	差	2	27	13	01129296	adj	4	01129296	adj	01129296
0345-cha.xml	差	3	42	8	02072149	adj	13	02072149	adj	02072149
0351-chan.xml	产	1	8	4	01624592	v	11	01624592	v	01624592
0351-chan.xml	产	1	9	5	01756303	v	13	01624592	v	01624592
0351-chan.xml	产	1	10	4	00914791	n	10	00915536	n	00915536
0351-chan.xml	产	3	36	4	13265007	n	13	13265007	n	13265007
0351-chan.xml	产	4	36	10	05155187	n	5	13265007	n	05155187
0353-chan-sheng.xml	产生	1	8	11	01620211	v	7	02081903	v	01620211
0353-chan-sheng.xml	产生	2	21	8	01630392	v	9	02094946	v	01630392
0353-chan-sheng.xml	产生	3	34	10	01630392	v	4	01630392	v	01630392
0353-chan-sheng.xml	产生	3	35	9	01624592	v	7	01624592	v	01624592
0353-chan-sheng.xml	产生	3	36	8	00703643	v	11	00427534	v	00427534
0353-chan-sheng.xml	产生	3	37	4	00340744	v	13	02631867	v	02631867
0362-chang.xml	长	1	8	8	00231983	v	10	00231983	v	00231983
0362-chang.xml	长	1	9	10	02137900	v	4	00033592	v	00033592
0362-chang.xml	长	2	22	5	01648667	adj	10	01648062	adj	01648667
0362-chang.xml	长	3	35	10	01440837	adj	7	01440837	adj	01440837
0362-chang.xml	长	3	36	9	00167240	adv	4	00089564	adv	00167240
0362-chang.xml	长	4	49	13	01436368	adj	4	01436368	adj	01436368
0362-chang.xml	长	4	50	13	01440837	adj	5	01440837	adj	01440837
0362-chang.xml	长	5	63	7	05146223	n	10	05163204	n	05146223
0362-chang.xml	长	6	76	7	09844011	n	13	09646208	n	09646208
0369-chang.xml	畅	1	8	8	00754447	adj	10	00211755	adv	00211755
0376-chao.xml	超	1	8	10	02675266	v	7	02675266	v	02675266
0376-chao.xml	超	2	21	10	02675266	v	7	00046144	adv	02675266
0376-chao.xml	超	2	22	7	00046144	adv	11	02675266	v	02675266
0376-chao.xml	超	3	35	11	00046739	adv	7	00046739	adv	00046739
0404-cheng.xml	称	1	8	8	01030757	v	9	01030757	v	01030757
0404-cheng.xml	称	1	10	9	01030757	v	4	00691692	v	01030757
0404-cheng.xml	称	1	11	7	01030757	v	13	01030757	v	01030757
0404-cheng.xml	称	2	24	9	02753015	v	7	00692380	v	00692380
0404-cheng.xml	称	2	25	4	00692380	v	9	02651923	v	00692380
0404-cheng.xml	称	2	26	9	00973047	v	7	00973047	v	00973047
0404-cheng.xml	称	3	39	7	01011267	v	9	00758383	v	00758383
0404-cheng.xml	称	3	40	9	00758383	v	8	01018011	v	00758383
0404-cheng.xml	称	4	53	13	01030757	v	8	02280210	v	02280210
0404-cheng.xml	称	6	79	7	06344646	n	10	06350278	n	06350278
0413-cheng.xml	成	1	8	8	02632685	v	9	00149403	v	00149403
0413-cheng.xml	成	2	20	10	00149403	v	5	00149403	v	00149403
0413-cheng.xml	成	3	33	10	02339254	adj	8	00120824	adv	00120824
0413-cheng.xml	成	3	34	13	00120824	adv	4	00158747	adv	00120824
0413-cheng.xml	成	4	47	7	00485097	v	13	00485097	v	00485097
0413-cheng.xml	成	5	59	10	02339254	adj	8	02088253	adj	02088253
0413-cheng.xml	成	6	69	4	02610777	v	10	02610777	v	02610777
0413-cheng.xml	成	7	80	10	02629987	v	7	00142011	v	02629987
0413-cheng.xml	成	8	92	9	13839738	n	7	13839738	n	13839738
0424-cheng-xian.xml	呈现	1	8	13	02153218	v	7	00427534	v	02153218
0424-cheng-xian.xml	呈现	1	9	4	00423043	v	13	00423043	v	00423043
0424-cheng-xian.xml	呈现	2	22	4	01617485	v	10	02153218	v	02153218
0424-cheng-xian.xml	呈现	3	35	11	00522618	n	8	00522265	n	00522618
0443-cheng-ren.xml	承认	1	8	9	00818972	v	7	00818972	v	00818972
0443-cheng-ren.xml	承认	1	10	4	00818972	v	13	00818972	v	00818972
0443-cheng-ren.xml	承认	2	23	4	00742454	v	10	00818972	v	00742454
0446-chi.xml	吃	1	8	11	01168667	v	4	01168667	v	01168667
0446-chi.xml	吃	10	128	7	00592319	v	10	00589616	v	00592319
0446-chi.xml	吃	11	141	8	01170802	v	10	01170802	v	01170802
0446-chi.xml	吃	12	154	8	02210054	v	11	01199565	v	02210054
0446-chi.xml	吃	13	167	8	01826886	v	13	02240906	v	02240906
0446-chi.xml	吃	2	21	5	01159300	v	11	01170802	v	01170802
0446-chi.xml	吃	3	34	8	01170802	v	13	01170802	v	01170802
0446-chi.xml	吃	4	47	10	01170802	v	5	02195992	v	02195992
0446-chi.xml	吃	5	60	8	00670017	v	10	01170802	v	00670017
0446-chi.xml	吃	6	73	9	01199186	v	5	01159815	v	01199186
0446-chi.xml	吃	6	74	10	01170802	v	5	01622948	v	01622948
0446-chi.xml	吃	7	87	7	00840028	n	13	00840028	n	00840028
0446-chi.xml	吃	7	88	9	00021445	n	7	00021445	n	00021445
0446-chi.xml	吃	8	101	7	00670017	v	9	02113644	v	02113644
0446-chi.xml	吃	9	114	9	01170802	v	7	01170802	v	01170802
0446-chi.xml	吃	9	115	11	01168667	v	4	00021445	n	01168667
0456-chi-xu.xml	持续	1	8	11	02710788	v	5	02710788	v	02710788
0456-chi-xu.xml	持续	2	21	5	02690747	v	11	02690747	v	02690747
0456-chi-xu.xml	持续	3	34	8	00284287	adv	9	02659476	v	00284287
0456-chi-xu.xml	持续	3	35	13	02690747	v	4	02690747	v	02690747
0488-chu.xml	出	1	7	13	02013448	v	8	02019450	v	02013448
0488-chu.xml	出	1	8	4	02351405	v	9	02271905	v	02351405
0488-chu.xml	出	10	121	7	02566500	v	10	01716563	v	01716563
0488-chu.xml	出	11	133	10	01477180	v	7	00946580	v	00946580
0488-chu.xml	出	12	145	4	00094214	v	11	00067316	v	00067316
0488-chu.xml	出	2	20	13	01559526	adj	4	00046144	adv	01559526
0488-chu.xml	出	3	32	4	01620211	v	9	01737358	v	01620211
0488-chu.xml	出	4	45	11	01748492	v	5	01748492	v	01748492
0488-chu.xml	出	6	69	4	01743695	v	11	01756303	v	01743695
0488-chu.xml	出	7	81	7	02271905	v	11	02256551	v	02271905
0488-chu.xml	出	7	82	13	01630816	v	5	01637684	v	01637684
0488-chu.xml	出	8	94	10	00235144	adv	7	00235144	adv	00235144
0488-chu.xml	出	8	96	8	02137900	v	9	00235144	adv	02137900
0488-chu.xml	出	9	108	4	00969657	v	13	00714537	v	00969657
0503-chu-kou.xml	出口	1	8	8	02351405	v	9	02351405	v	02351405
0503-chu-kou.xml	出口	1	9	5	02351405	v	10	02351405	v	02351405
0503-chu-kou.xml	出口	3	35	11	03308910	n	4	03308910	n	03308910
0503-chu-kou.xml	出口	3	36	5	02351405	v	11	03308910	n	03308910
0536-chu.xml	处	1	8	5	02740363	v	11	02617408	v	02740363
0538-chu-li.xml	处理	1	8	7	02376078	v	13	02376078	v	02376078
0538-chu-li.xml	处理	1	9	5	02505278	v	11	02441196	v	02505278
0538-chu-li.xml	处理	2	22	13	02441196	v	4	02441196	v	02441196
0538-chu-li.xml	处理	2	23	11	02441196	v	8	02441196	v	02441196
0538-chu-li.xml	处理	2	24	8	00516235	v	11	00516235	v	00516235
0541-chuan.xml	穿	1	8	9	00052091	v	8	00052091	v	00052091
0541-chuan.xml	穿	2	21	7	02731365	n	13	03055525	n	02731365
0541-chuan.xml	穿	3	34	13	01916152	v	5	01916152	v	01916152
0541-chuan.xml	穿	3	35	5	00480765	adv	9	00274275	adv	00480765
0541-chuan.xml	穿	4	48	4	01443719	v	9	01443719	v	01443719
0577-ci-ji.xml	刺激	1	8	10	00772482	v	7	00504245	v	00504245
0577-ci-ji.xml	刺激	1	9	11	00772482	v	4	01765558	v	00772482
0577-ci-ji.xml	刺激	1	10	4	00924255	adj	10	00924255	adj	00924255
0577-ci-ji.xml	刺激	2	23	7	01791774	v	13	01791774	v	01791774
0577-ci-ji.xml	刺激	3	37	5	05836008	n	10	05836008	n	05836008
0577-ci-ji.xml	刺激	3	38	11	13582922	n	7	05836008	n	13582922
0584-cu.xml	粗	1	8	5	02237329	adj	13	00919090	adj	02237329
0584-cu.xml	粗	2	21	4	02419189	adj	11	00582232	adj	02419189
0584-cu.xml	粗	3	34	11	02246206	adj	5	01385012	adj	02246206
0589-cu-jin.xml	促进	1	8	9	02560630	v	8	02560630	v	02560630
0589-cu-jin.xml	促进	1	9	13	02560630	v	7	01653541	v	02560630
0589-cu-jin.xml	促进	1	10	7	00440298	v	13	02560630	v	00440298
0589-cu-jin.xml	促进	2	23	7	02560630	v	13	02560630	v	02560630
0593-cun.xml	存	1	8	4	02315835	v	13	02270824	v	02270824
0593-cun.xml	存	2	22	5	02208144	v	10	02609706	v	02609706
0593-cun.xml	存	2	23	7	02609706	v	9	02609706	v	02609706
0593-cun.xml	存	3	36	13	02219267	v	5	02609706	v	02219267
0593-cun.xml	存	3	37	4	01067899	v	10	02685709	v	01067899
0600-cuo.xml	错	1	8	8	00635278	adj	9	00635278	adj	00635278
0600-cuo.xml	错	1	9	11	00636618	adj	4	01129296	adj	01129296
0600-cuo.xml	错	2	22	9	00635278	adj	7	04809652	n	04809652
0606-da.xml	达	1	7	7	02010848	v	11	02010848	v	02010848
0606-da.xml	达	2	19	8	02024442	v	13	02009962	v	02024442
0606-da.xml	达	3	32	7	02531751	v	13	02531751	v	02531751
0614-da.xml	打	1	8	8	01399864	v	10	01399864	v	01399864
0614-da.xml	打	1	9	10	00218002	v	8	00218002	v	00218002
0614-da.xml	打	10	129	10	02380222	v	8	02380222	v	02380222
0614-da.xml	打	12	155	13	01659048	v	8	00230031	v	00230031
0614-da.xml	打	12	156	11	02733758	v	8	00978685	v	00978685
0614-da.xml	打	13	169	7	01435927	v	11	01435927	v	01435927
0614-da.xml	打	14	182	7	01023429	v	13	01759660	v	01023429
0614-da.xml	打	14	183	11	01066821	v	7	01066821	v	01066821
0614-da.xml	打	2	22	5	01407698	v	13	01402698	v	01407698
0614-da.xml	打	2	23	9	06283456	n	8	01064577	v	01064577
0614-da.xml	打	2	24	11	02189819	v	4	00638921	v	02189819
0614-da.xml	打	3	37	13	01075360	v	4	01075360	v	01075360
0614-da.xml	打	5	63	4	02277394	v	10	00463047	v	00463047
0614-da.xml	打	6	76	10	01092746	v	7	01092746	v	01092746
0614-da.xml	打	7	89	5	02314354	v	9	01588444	v	01588444
0614-da.xml	打	8	102	10	01166589	v	4	01161188	v	01161188
0614-da.xml	打	8	103	8	01161188	v	9	00758383	v	00758383
0614-da.xml	打	9	116	11	01883572	v	5	01884666	v	01883572
0659-dai.xml	带	1	8	7	02636270	v	13	02638248	v	02636270
0659-dai.xml	带	1	9	13	02722040	v	5	02642600	v	02722040
0659-dai.xml	带	1	10	5	01062889	v	13	02722040	v	01062889
0659-dai.xml	带	10	130	11	00117989	adv	8	00048072	adv	00117989
0659-dai.xml	带	2	23	11	02003830	v	7	02003830	v	02003830
0659-dai.xml	带	2	24	7	02081903	v	13	02029396	v	02081903
0659-dai.xml	带	3	37	8	02081903	v	13	02081903	v	02081903
0659-dai.xml	带	5	63	5	02081903	v	13	02545454	v	02545454
0659-dai.xml	带	5	64	10	02555544	v	8	02555993	v	02555544
0659-dai.xml	带	6	78	5	00047462	v	9	00052091	v	00052091
0659-dai.xml	带	7	91	5	00830768	v	13	02380222	v	00830768
0659-dai.xml	带	8	104	11	08569713	n	5	08514304	n	08514304
0664-dai-lai.xml	带来	1	8	13	01632781	v	7	01632781	v	01632781
0664-dai-lai.xml	带来	1	10	8	01632781	v	11	01632781	v	01632781
0664-dai-lai.xml	带来	2	22	4	02081903	v	9	02081903	v	02081903
0664-dai-lai.xml	带来	2	23	10	02081903	v	5	02081903	v	02081903
0664-dai-lai.xml	带来	2	24	10	02081903	v	5	02081903	v	02081903
0667-dai-shang.xml	带上	1	8	7	02722977	v	11	01436773	v	01436773
0670-dai.xml	代	1	8	10	02479404	v	8	00722912	n	02547206
0670-dai.xml	代	2	21	7	02262575	v	10	02262575	v	02262575
0670-dai.xml	代	3	34	4	08386333	n	13	15274447	n	08386333
0670-dai.xml	代	4	47	9	08386333	n	7	07988029	n	07988029
0675-dai.xml	待	1	8	4	02634015	v	10	02634015	v	02634015
0675-dai.xml	待	2	21	9	02519853	v	5	02519853	v	02519853
0675-dai.xml	待	3	35	7	01861378	v	11	02643286	v	01861378
0675-dai.xml	待	4	48	7	00721987	v	9	02644022	v	00721987
0675-dai.xml	待	4	49	8	02644022	v	9	02644022	v	02644022
0694-dang.xml	当	1	8	7	00691692	v	10	02677402	v	02677402
0694-dang.xml	当	1	9	5	02632685	v	9	00022585	adv	00022585
0694-dang.xml	当	2	22	4	01097629	v	10	00149403	v	01097629
0694-dang.xml	当	2	23	10	02677402	v	8	01097629	v	01097629
0694-dang.xml	当	3	36	7	02699161	v	9	01068455	v	01068455
0694-dang.xml	当	6	76	5	00172439	n	9	06770936	n	00172439
0694-dang.xml	当	7	89	10	00669281	adj	5	00669281	adj	00669281
0704-dao.xml	倒	1	9	11	01988331	v	8	02407551	v	02407551
0704-dao.xml	倒	3	35	9	01993067	v	4	02034007	v	02034007
0704-dao.xml	倒	4	48	11	02074224	v	8	02074224	v	02074224
0704-dao.xml	倒	4	49	5	01954657	v	13	02001151	v	02001151
0704-dao.xml	倒	5	62	13	00387386	v	4	00138328	v	00138328
0704-dao.xml	倒	5	63	10	00074673	adv	7	00203687	adj	00074673
0704-dao.xml	倒	6	76	5	02476782	adj	10	02476782	adj	02476782
0704-dao.xml	倒	7	94	10	00150196	adv	5	00027761	adv	00150196
0709-dao.xml	到	1	7	10	02009962	v	5	02024442	v	02009962
0709-dao.xml	到	1	8	13	02009962	v	7	02214901	v	02214901
0709-dao.xml	到	3	36	10	02010848	v	7	02010848	v	02010848
0709-dao.xml	到	6	81	9	00642003	adj	5	00642003	adj	00642003
0720-dao.xml	道	1	8	8	01011267	v	9	01011267	v	01011267
0720-dao.xml	道	2	21	13	00416689	n	5	08697710	n	00416689
0720-dao.xml	道	3	34	11	00174852	n	7	08257090	n	08257090
0720-dao.xml	道	4	48	9	05952149	n	4	00173531	n	05668113
0720-dao.xml	道	4	49	13	00416689	n	4	00416689	n	00416689
0720-dao.xml	道	5	62	5	05952149	n	11	05952149	n	05952149
0736-deng.xml	登	1	9	10	01749530	v	8	01749530	v	01749530
0736-deng.xml	登	1	10	5	01573231	v	13	00969657	v	00969657
0736-deng.xml	登	2	23	4	01724519	v	10	02024442	v	01724519
0741-deng.xml	等	1	8	11	02644022	v	5	00721987	v	02644022
0741-deng.xml	等	1	10	13	02644022	v	5	02644022	v	02644022
0741-deng.xml	等	2	23	4	00104351	adj	9	00104351	adj	00104351
0747-di.xml	低	1	8	7	01215141	adj	13	01215141	adj	01215141
0747-di.xml	低	1	9	11	02107989	adj	5	00061741	adv	02107989
0747-di.xml	低	2	22	4	01977139	v	9	00900454	v	00900454
0780-diao.xml	吊	1	8	9	02687605	v	7	02122017	v	02122017
0802-die.xml	跌	1	8	5	00433636	v	10	00433636	v	00433636
0802-die.xml	跌	1	9	8	00433636	v	11	01974840	v	01974840
0808-ding.xml	顶	1	8	9	02262575	v	8	00162496	v	00162496
0808-ding.xml	顶	2	21	11	01220648	n	5	00047462	n	00047462
0808-ding.xml	顶	3	34	4	08635538	n	9	13675520	n	08635538
0808-ding.xml	顶	3	35	7	08681598	n	9	08681598	n	08681598
0811-ding.xml	定	1	8	8	00796643	v	9	01801657	adj	00796643
0811-ding.xml	定	1	9	4	00796643	v	10	00680201	v	00680201
0811-ding.xml	定	1	10	7	02133178	adj	9	02298730	adj	02133178
0816-ding-wei.xml	定位	1	8	4	02719059	v	11	01153025	v	01153025
0816-ding-wei.xml	定位	2	21	8	13968971	n	9	01132241	n	13968971
0836-dong.xml	冻	1	8	5	00374806	v	10	01081990	adj	00374806
0836-dong.xml	冻	1	9	5	00376536	v	11	00376536	v	00376536
0843-du.xml	毒	1	8	8	01326002	v	10	01326002	v	01326002
0843-du.xml	毒	2	21	10	15056943	n	8	15056943	n	15056943
0843-du.xml	毒	3	34	5	02459585	adj	9	02458503	adj	02459585
0846-du-li.xml	独立	1	8	7	00731008	adj	10	01066082	adj	01066082
0846-du-li.xml	独立	2	21	7	00731008	adj	13	00731008	adj	00731008
0846-du-li.xml	独立	2	22	5	00731008	adj	9	00731008	adj	00731008
0846-du-li.xml	独立	3	35	4	00182097	adv	10	00182097	adv	00182097
0846-du-li.xml	独立	3	36	5	00735050	adj	11	00735050	adj	00735050
0846-du-li.xml	独立	3	37	10	00731008	adj	4	00731008	adj	00731008
0846-du-li.xml	独立	3	38	8	00735050	adj	11	00735050	adj	00735050
0874-duan.xml	断	1	8	5	02615799	v	13	00780320	v	00780320
0874-duan.xml	断	2	21	10	00293269	v	5	00293269	v	00293269
0874-duan.xml	断	3	34	10	00665505	adj	4	13310182	n	00665505
0874-duan.xml	断	4	47	4	00007887	adv	9	00037329	adv	00037329
0880-dui.xml	对	1	8	13	02519853	v	5	02519853	v	02519853
0880-dui.xml	对	2	21	8	00636250	adj	13	00634232	adj	00636250
0880-dui.xml	对	3	36	8	01153576	v	13	00302443	v	00302443
0880-dui.xml	对	4	50	5	08001665	n	11	08001665	n	08001665
0894-duo.xml	多	1	8	13	01559526	adj	5	00156409	v	00156409
0894-duo.xml	多	10	128	13	00100262	adv	7	00059624	adv	00100262
0894-duo.xml	多	10	129	5	00100262	adv	13	01559526	adj	00100262
0894-duo.xml	多	10	130	5	00100262	adv	11	00100262	adv	00100262
0894-duo.xml	多	3	34	7	01560748	adj	11	01559526	adj	01560748
0894-duo.xml	多	3	35	13	02223646	adj	5	02223646	adj	02223646
0894-duo.xml	多	4	48	10	01559526	adj	8	01560748	adj	01559526
0894-duo.xml	多	5	61	4	00059624	adv	13	01557986	adj	00059624
0894-duo.xml	多	6	74	9	01555990	adj	5	00099891	adv	00099891
0894-duo.xml	多	7	87	13	00006486	adv	7	00006486	adv	00006486
0894-duo.xml	多	7	88	7	00006486	adv	10	00006486	adv	00006486
0894-duo.xml	多	8	101	4	00035445	adv	9	00035445	adv	00035445
0894-duo.xml	多	9	114	7	02721154	v	10	00013906	adj	02721154
0894-duo.xml	多	9	115	10	02031394	adj	4	02511642	adj	02031394
